bond_pair,reaction,mol_name,mol_cas,mol_url,Hf_mol_kJ_mol,Hf_mol_ref,radA_name,radA_cas,radA_url,Hf_radA_kJ_mol,Hf_radA_ref,radB_name,radB_cas,radB_url,Hf_radB_kJ_mol,Hf_radB_ref,BDE_kJ_mol,status,notes
Si-F,SiF4 → SiF3• + F•,Tetrafluorosilane,7783-61-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=1,-1615.0,"Cox, Wagman, et al., 1984",Trifluorosilyl radical,15599-89-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C15599890&Mask=1,,,Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Trifluorosilyl radical)
Si-Cl,SiCl4 → SiCl3• + Cl•,Tetrachlorosilane,10026-04-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10026047&Mask=1,-662.75,"Chase, 1998",Trichlorosilyl radical,13566-47-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13566477&Mask=1,,,Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Trichlorosilyl radical)
P-P,P2H4 → 2 PH2•,Diphosphine,13445-50-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13445506&Mask=1,,,Phosphino radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,Phosphino radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Diphosphine), ΔfH°(Phosphino radical), ΔfH°(Phosphino radical)"
P-F,PF3 → PF2• + F•,Phosphorus trifluoride,7783-55-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783553&Mask=1,-958.44,"Chase, 1998",Difluorophosphino radical,16302-12-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C16302124&Mask=1,,,Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Difluorophosphino radical)
P-Cl,PCl3 → PCl2• + Cl•,Phosphorus trichloride,7719-12-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7719122&Mask=1,-288.7,"Chase, 1998",Dichlorophosphino radical,26299-93-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C26299936&Mask=1,,,Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Dichlorophosphino radical)
P=O,POCl3 → POCl2• + Cl•,Phosphoryl chloride,10025-87-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10025873&Mask=1,-559.82,"Chase, 1998",Phosphonyl dichloride,51649-82-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C51649822&Mask=1,,,Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Phosphonyl dichloride)
F-F,F2 → 2 F•,Fluorine,7782-41-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7782414&Mask=1,0.0,definição IUPAC/CODATA — elemento no estado padrão,Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",158.76,ok,
Cl-Cl,Cl2 → 2 Cl•,Chlorine,7782-50-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7782505&Mask=1,0.0,definição IUPAC/CODATA — elemento no estado padrão,Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",242.6,ok,
Br-Br,Br2 → 2 Br•,Bromine,7726-95-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7726956&Mask=1,30.91,"Cox, Wagman, et al., 1984",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",192.83,ok,
I-I,I2 → 2 I•,Iodine,7553-56-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7553562&Mask=1,62.42,"Cox, Wagman, et al., 1984",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",151.1,ok,
